"From","To","Files","Bytes"
"vendor\gsv-tools\pretrained\v2Pro","models\tts\gpt-sovits\v2Pro","6","814801396"
"vendor\gsv-tools\pretrained\gsv-v2final","models\tts\gpt-sovits\gsv-v2final","4","509978539"
"vendor\gsv-tools\pretrained\chinese-hubert-base","models\tts\gpt-sovits\chinese-hubert-base","3","188813078"
"vendor\gsv-tools\pretrained\chinese-roberta-wwm-ext-large","models\tts\gpt-sovits\chinese-roberta-wwm-ext-large","3","651495070"
"vendor\gsv-tools\pretrained\sv","models\tts\gpt-sovits\sv","1","107528697"
"vendor\gsv_code\text\G2PWModel","models\tts\gpt-sovits\G2PWModel","9","637377546"
"vendor\gsv-tools\pretrained\bigvgan","models\vocoder\bigvgan","2","225181087"
"vendor\gsv-tools\asr\models\faster-whisper-large-v3","models\asr\faster-whisper\large-v3","15","3090840025"
"vendor\gsv-tools\asr\faster-whisper-large-v3-turbo","models\asr\faster-whisper\large-v3-turbo","11","1621833493"
"vendor\gsv-tools\asr\models\speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8404-pytorch","models\asr\funasr\speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8404-pytorch","11","889145471"
"vendor\gsv-tools\asr\models\speech_fsmn_vad_zh-cn-16k-common-pytorch","models\asr\funasr\speech_fsmn_vad_zh-cn-16k-common-pytorch","9","4029808"
"vendor\gsv-tools\asr\models\punc_ct-transformer_zh-cn-common-vocab272727-pytorch","models\asr\funasr\punc_ct-transformer_zh-cn-common-vocab272727-pytorch","10","296362214"
"vendor\gsv-tools\asr\models\speech_UniASR_asr_2pass-cantonese-CHS-16k-common-vocab1468-tensorflow1-online","models\asr\funasr\speech_UniASR_asr_2pass-cantonese-CHS-16k-common-vocab1468-tensorflow1-online","11","395301611"
"vendor\gsv-tools\uvr5\uvr5_weights\HP2_all_vocals.pth","models\separation\uvr5\vr\HP2_all_vocals.pth","1","63454827"
"vendor\gsv-tools\uvr5\uvr5_weights\HP3_all_vocals.pth","models\separation\uvr5\vr\HP3_all_vocals.pth","1","63454827"
"vendor\gsv-tools\uvr5\uvr5_weights\HP5_only_main_vocal.pth","models\separation\uvr5\vr\HP5_only_main_vocal.pth","1","63454827"
"vendor\gsv-tools\uvr5\uvr5_weights\VR-DeEchoNormal.pth","models\separation\uvr5\vr\VR-DeEchoNormal.pth","1","63666335"
"vendor\gsv-tools\uvr5\uvr5_weights\VR-DeEchoAggressive.pth","models\separation\uvr5\vr\VR-DeEchoAggressive.pth","1","63666335"
"vendor\gsv-tools\uvr5\uvr5_weights\VR-DeEchoDeReverb.pth","models\separation\uvr5\vr\VR-DeEchoDeReverb.pth","1","111925279"
"vendor\gsv-tools\uvr5\uvr5_weights\MelBandRoformer.ckpt","models\separation\uvr5\roformer\MelBandRoformer.ckpt","1","913106900"
"vendor\gsv-tools\uvr5\uvr5_weights\model_bs_roformer_ep_317_sdr_12.9755.ckpt","models\separation\uvr5\roformer\model_bs_roformer_ep_317_sdr_12.9755.ckpt","1","319754015"
"vendor\gsv-tools\uvr5\uvr5_weights\onnx_dereverb_By_FoxJoy","models\separation\uvr5\mdx\onnx_dereverb_By_FoxJoy","1","66780123"
"vendor\gsv-infer\sr\AP_BWE_main\24kto48k","models\sr\ap-bwe\24kto48k","1","119097961"
"vendor\gsv-tools\pretrained\fast_langdetect","models\lang\fast_langdetect","1","131266198"
